,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,MiscVal
447,11214,22,21,0.0,0,0,930,930,930,1886,431,89,0
448,8600,83,70,0.0,0,0,780,780,596,1376,198,0,0
449,6000,72,18,0.0,331,0,318,649,504,1183,308,0,0
450,5684,90,15,0.0,0,0,813,813,0,813,270,0,0
451,70761,45,45,0.0,655,0,878,1533,0,1533,576,200,0
452,9303,24,23,42.0,742,0,130,872,868,1756,422,144,0
453,9000,12,12,0.0,0,0,768,768,804,1590,676,0,0
454,9297,44,44,0.0,1606,0,122,1728,0,1728,560,0,0
455,9600,47,47,320.0,916,0,326,1242,0,1242,528,0,0
456,4571,104,70,0.0,0,0,624,624,720,1344,513,0,0
457,53227,66,26,0.0,1116,0,248,1364,0,1663,529,224,0
458,5100,95,24,0.0,0,0,588,588,833,1666,228,192,0
459,7015,70,70,161.0,185,0,524,709,224,1203,352,0,0
460,8004,11,11,110.0,544,0,288,832,1103,1935,552,0,0
461,7200,84,13,0.0,350,210,0,560,560,1135,576,256,0
462,8281,55,55,0.0,553,311,0,864,0,864,360,0,0
463,11988,86,25,0.0,326,0,389,715,811,1660,240,0,0
465,3072,16,16,18.0,0,0,1375,1375,0,1414,398,144,0
466,10628,50,50,0.0,778,0,499,1277,0,1277,526,0,0
467,9480,78,25,224.0,386,0,342,728,756,1644,312,168,0
468,11428,14,14,248.0,0,0,1626,1626,0,1634,866,0,0
469,9291,27,27,120.0,426,0,406,832,878,1710,506,144,0
470,6820,35,35,0.0,368,1120,0,1488,0,1502,528,0,0
471,11952,43,43,0.0,0,0,808,808,808,1969,534,0,0
472,3675,15,15,80.0,459,0,88,547,0,1072,525,0,0
473,14977,14,13,304.0,1350,0,626,1976,0,1976,908,250,0
474,5330,20,20,0.0,1196,0,298,1494,0,1652,499,96,0
475,8480,57,57,0.0,630,0,340,970,0,970,624,0,0
476,13125,23,22,215.0,994,0,484,1478,0,1493,508,140,0
477,13693,14,14,772.0,0,0,2153,2153,574,2643,694,414,0
478,10637,13,12,336.0,1288,0,417,1705,0,1718,826,208,0
479,5925,83,20,435.0,168,0,739,907,0,1131,672,0,0
480,16033,16,15,378.0,1261,0,572,1833,0,1850,772,519,0
481,11846,17,16,562.0,1567,0,225,1792,0,1792,874,206,0
482,2500,105,15,0.0,299,0,611,910,910,1826,164,0,0
483,4500,22,22,116.0,897,0,319,1216,0,1216,402,0,0
484,7758,58,19,0.0,588,0,411,999,0,999,264,0,0
485,9600,70,13,0.0,607,0,506,1113,0,1113,264,0,0
486,10289,55,55,168.0,836,0,237,1073,0,1073,515,0,0
487,12243,49,49,0.0,998,0,486,1484,0,1484,487,224,0
488,10800,120,50,0.0,664,0,290,954,648,2414,520,142,0
489,1526,50,18,0.0,515,0,115,630,0,630,286,0,0
490,2665,44,44,0.0,0,0,264,264,688,1304,336,141,0
491,9490,79,70,0.0,403,165,238,806,620,1578,240,0,0
492,15578,14,14,0.0,0,0,728,728,728,1456,429,0,0
493,7931,60,60,0.0,374,532,363,1269,0,1269,308,0,0
494,5784,82,24,0.0,0,0,190,190,0,886,273,144,0
496,12692,28,27,0.0,1231,0,1969,3200,0,3228,546,264,0
497,9120,95,70,0.0,329,0,697,1026,687,1820,240,0,0
498,7800,53,16,89.0,450,0,414,864,0,899,288,64,0
499,7535,62,35,0.0,111,279,522,912,0,912,297,12,480
500,1890,47,47,285.0,356,0,316,672,546,1218,264,144,0
501,9803,15,15,0.0,400,0,466,866,902,1768,603,0,0
502,9170,55,55,0.0,698,96,420,1214,0,1214,461,0,400
503,15602,61,23,0.0,1247,0,254,1501,0,1801,484,0,0
504,2308,46,46,0.0,257,495,103,855,467,1322,440,260,0
505,7596,68,68,360.0,0,0,960,960,1000,1960,400,0,0
506,9554,27,26,125.0,380,0,397,777,846,1911,471,182,0
507,7862,11,11,0.0,27,0,1191,1218,0,1218,676,0,0
508,9600,92,15,0.0,141,0,548,689,689,1378,360,0,0
509,9600,61,61,132.0,991,0,50,1041,0,1041,270,224,0
510,14559,69,20,70.0,650,180,178,1008,0,1363,288,324,2000
511,6792,15,14,94.0,0,0,1368,1368,0,1368,474,132,0
512,9100,62,62,0.0,521,174,169,864,0,864,624,0,0
513,9187,37,37,0.0,336,0,748,1084,0,1080,484,120,0
514,10594,94,70,0.0,0,0,768,768,0,789,200,0,0
515,12220,11,11,305.0,1436,0,570,2006,0,2020,900,156,0
516,10448,48,48,333.0,0,0,689,689,741,2119,583,0,0
517,10208,24,23,921.0,0,0,1264,1264,1067,2344,889,220,0
518,9531,22,22,0.0,706,0,88,794,914,1796,546,0,0
519,10918,94,16,0.0,0,0,1276,1276,804,2080,282,0,0
521,11988,63,63,0.0,777,0,467,1244,0,1244,336,0,0
522,5000,73,70,0.0,399,0,605,1004,660,1664,420,0,0
523,40094,13,12,762.0,2260,0,878,3138,1538,4676,884,208,0
524,11787,24,23,594.0,719,0,660,1379,1015,2398,834,239,0
525,7500,15,15,0.0,0,0,1257,1257,0,1266,453,38,0
526,13300,64,20,0.0,377,0,551,928,0,928,252,261,0
527,14948,12,12,268.0,1330,0,122,1452,1237,2713,858,126,0
530,10200,32,31,219.0,783,0,678,1461,0,1509,600,224,0
531,6155,100,21,0.0,0,0,611,611,611,1362,502,0,0
532,7200,65,13,0.0,0,0,0,0,0,827,392,0,0
534,9056,16,16,0.0,0,0,707,707,707,1414,403,100,0
536,8924,22,21,0.0,0,0,880,880,844,1724,527,120,0
537,12735,48,48,0.0,600,0,264,864,0,864,576,216,0
538,11553,52,52,188.0,673,0,378,1051,0,1159,336,466,0
539,11423,19,18,479.0,1358,0,223,1581,0,1601,670,180,2000
540,14601,14,14,584.0,1260,0,578,1838,0,1838,765,270,0
541,11000,20,20,72.0,0,0,969,969,1288,2285,648,0,0
542,10140,22,21,0.0,144,1127,379,1650,0,1680,583,78,0
543,4058,22,22,182.0,584,139,0,723,0,767,367,120,0
544,17104,14,14,0.0,554,0,100,654,832,1496,426,100,0
545,13837,32,32,178.0,1002,202,0,1204,806,2183,786,0,0
546,8737,97,70,0.0,300,0,765,1065,720,1635,440,0,0
547,7244,50,50,0.0,619,0,149,768,0,768,624,104,0
548,8235,65,25,0.0,180,645,0,825,0,825,720,140,0
549,9375,17,16,0.0,0,0,912,912,1182,2094,615,182,0
550,4043,43,43,0.0,559,0,510,1069,0,1069,440,0,0
551,6000,63,63,0.0,308,0,620,928,0,928,288,0,0
552,11146,14,14,250.0,0,0,1709,1709,0,1717,908,169,0
553,8777,71,17,0.0,0,0,0,0,0,1126,520,0,0
554,10625,17,16,292.0,866,0,132,998,1040,2046,871,320,0
555,6380,98,70,0.0,0,0,993,993,0,1048,280,0,0
556,14850,63,63,0.0,895,0,197,1092,0,1092,299,268,0
557,11040,100,70,0.0,637,0,0,637,439,1336,570,0,0
558,21872,24,23,0.0,604,0,125,729,717,1446,406,264,0
559,3196,17,16,18.0,0,0,1374,1374,0,1557,420,143,0
560,11341,63,24,180.0,1302,0,90,1392,0,1392,528,0,0
561,10010,46,45,0.0,1071,123,195,1389,0,1389,418,240,0
563,21780,102,70,0.0,0,0,1163,1163,511,1674,396,72,0
564,13346,28,20,0.0,728,0,367,1095,1129,2295,590,0,0
565,6858,105,70,0.0,0,0,806,806,806,1647,216,0,0
566,11198,15,13,245.0,0,0,1122,1122,1370,2504,656,144,0
567,10171,16,16,168.0,2,0,1515,1517,0,1535,532,0,0
568,12327,37,11,0.0,1441,0,55,1496,636,2132,612,349,0
569,7032,41,41,0.0,943,0,0,943,0,943,600,42,0
570,13101,55,55,108.0,231,0,1497,1728,0,1728,576,0,0
571,7332,61,61,207.0,414,0,450,864,0,864,288,168,0
572,13159,11,11,0.0,0,0,846,846,846,1692,650,208,0
573,9967,20,20,0.0,0,0,384,384,656,1430,400,100,0
574,10500,49,15,82.0,349,0,23,372,533,1109,288,35,0
575,8480,73,70,0.0,442,0,390,832,384,1216,336,158,0
576,6292,92,70,0.0,0,0,861,861,600,1477,216,0,0
577,11777,54,54,97.0,328,551,285,1164,0,1320,564,160,0
578,3604,13,13,0.0,0,0,689,689,689,1392,540,0,0
579,12150,66,66,335.0,0,0,1050,1050,745,1795,352,0,0
580,14585,60,33,85.0,594,219,331,1144,0,1429,572,216,0
581,12704,12,11,306.0,0,0,2042,2042,0,2042,1390,0,0
583,13500,127,20,0.0,0,0,1237,1237,1254,2775,880,105,0
584,6120,85,25,0.0,0,0,884,884,584,1573,240,0,0
585,11443,15,14,208.0,1460,0,408,1868,0,2028,880,326,0
586,10267,102,20,0.0,210,606,0,816,0,838,275,0,0
587,8740,38,38,0.0,672,0,168,840,0,860,528,0,0
588,25095,52,17,0.0,1324,0,113,1437,0,1473,452,0,0
589,9100,90,60,0.0,0,0,742,742,0,935,308,0,600
590,8320,16,16,0.0,490,0,280,770,812,1582,520,0,0
591,13478,12,12,420.0,1338,0,384,1722,568,2296,842,382,0
592,6600,38,17,0.0,816,0,0,816,0,816,816,0,0
593,4435,17,17,170.0,685,0,163,848,0,848,420,140,0
594,7990,45,45,0.0,0,0,924,924,0,924,280,0,0
595,11302,15,14,238.0,1422,0,392,1814,0,1826,758,180,0
596,3600,110,27,0.0,0,0,684,684,684,1368,216,0,0
597,3922,14,13,72.0,0,0,1258,1258,0,1402,648,120,0
598,12984,43,43,459.0,1283,147,0,1430,0,1647,621,0,0
599,1950,40,40,0.0,81,612,23,716,840,1556,452,161,0
600,10927,15,15,280.0,546,0,512,1058,846,1904,736,179,0
601,9000,83,70,0.0,0,0,780,780,595,1375,544,0,0
602,10041,28,28,0.0,789,0,119,908,988,1915,506,120,0
603,3182,16,15,0.0,0,0,600,600,600,1200,480,0,0
604,12803,18,18,99.0,922,0,572,1494,0,1494,530,192,0
605,13600,55,30,176.0,454,0,314,768,800,1986,486,0,0
606,12464,24,24,0.0,732,0,308,1040,0,1040,576,168,0
607,7800,72,18,0.0,603,0,293,896,896,2008,230,103,0
608,12168,86,22,0.0,428,0,537,965,1254,3194,380,0,0
609,7943,59,59,192.0,903,0,126,1029,0,1029,261,64,0
610,11050,20,20,204.0,904,0,536,1440,677,2153,736,253,0
611,10395,42,42,233.0,605,0,427,1032,0,1032,564,0,500
612,11885,19,19,108.0,990,0,309,1299,573,1872,531,160,0
615,8800,57,57,156.0,763,0,173,936,0,1054,480,120,0
616,7861,18,17,0.0,457,0,326,783,702,1509,393,100,0
617,7227,66,66,0.0,0,0,832,832,0,832,528,0,0
618,11694,13,13,452.0,48,0,1774,1822,0,1828,774,0,0
619,12244,17,17,226.0,871,0,611,1482,780,2262,749,168,0
621,10800,46,23,0.0,956,182,384,1522,1066,2614,624,38,0
622,7064,43,43,153.0,560,0,420,980,0,980,484,192,0
623,2117,20,20,513.0,420,0,336,756,756,1512,440,0,0
624,10400,48,48,288.0,247,0,485,732,778,1790,484,148,0
625,10000,58,58,261.0,0,0,1116,1116,0,1116,440,0,0
626,12342,60,42,0.0,0,0,978,978,0,1422,286,0,600
627,9600,65,48,164.0,674,132,350,1156,0,1520,364,0,0
628,11606,51,51,192.0,650,0,390,1040,1040,2080,504,335,0
629,9020,56,56,259.0,624,336,288,1248,0,1350,520,176,0
630,9000,140,29,0.0,0,0,636,636,661,1750,240,0,0
631,4590,14,14,108.0,24,0,1530,1554,0,1554,627,156,0
632,11900,43,43,209.0,822,0,564,1386,0,1411,544,192,0
633,9250,66,15,0.0,480,468,108,1056,0,1056,260,390,0
634,6979,40,40,0.0,1056,0,0,1056,0,1056,576,264,600
637,6000,66,66,0.0,0,0,811,811,576,1387,256,0,0
639,3982,14,14,0.0,1154,0,366,1520,0,1567,648,312,0
640,12677,17,16,472.0,1218,0,300,1518,0,1518,588,185,0
641,7050,19,19,0.0,738,0,319,1057,872,1929,650,0,0
642,13860,48,25,0.0,1410,0,542,1952,704,2704,538,269,0
643,10793,51,51,263.0,493,287,0,780,840,1620,462,208,0
644,9187,11,11,162.0,1121,0,645,1766,0,1766,478,195,0
645,10530,49,49,0.0,282,35,664,981,0,981,576,0,0
646,7200,70,70,0.0,0,0,0,0,0,1048,420,0,0
647,10452,67,67,216.0,500,0,594,1094,0,1094,495,0,0
648,7700,54,54,351.0,0,0,756,756,788,1839,442,0,0
651,9084,80,70,0.0,0,0,755,755,755,1510,296,120,0
652,8750,24,24,0.0,0,0,880,880,807,1716,512,0,0
653,10320,114,25,0.0,0,0,756,756,713,1469,216,57,0
654,10437,25,25,660.0,1696,0,413,2109,0,2113,839,236,0
655,1680,49,49,381.0,0,0,525,525,567,1092,264,0,0
656,10007,61,14,54.0,806,0,247,1053,0,1053,312,0,0
657,7200,89,20,0.0,0,0,776,776,651,1502,270,0,0
658,17503,72,70,0.0,0,0,912,912,546,1458,330,192,0
659,9937,56,21,0.0,637,0,849,1486,0,1486,480,0,0
660,12384,44,44,233.0,0,0,793,793,793,1935,550,0,0
661,46589,26,15,528.0,1361,180,88,1629,762,2448,711,517,0
662,13560,52,52,216.0,0,0,1392,1392,0,1392,576,0,0
663,10012,48,48,0.0,920,180,38,1138,0,1181,588,0,0
664,20896,15,14,0.0,1721,0,356,2077,0,2097,1134,192,0
665,11194,20,20,40.0,0,0,1406,1406,482,1936,504,188,0
666,18450,55,41,113.0,187,723,111,1021,915,2380,596,0,0
667,8125,26,22,258.0,1138,0,270,1408,0,1679,575,224,0
668,14175,64,33,0.0,988,0,200,1188,0,1437,576,304,0
669,11600,98,70,0.0,0,0,700,700,0,1180,252,0,0
670,8633,15,15,0.0,193,0,545,738,738,1476,540,100,0
671,6629,95,70,0.0,551,0,121,672,672,1369,300,147,0
672,11250,43,43,0.0,767,0,441,1208,0,1208,546,198,0
673,14442,63,16,106.0,1186,0,291,1477,0,1839,416,0,0
674,9200,55,55,0.0,892,0,244,1136,0,1136,384,426,0
675,2289,42,42,0.0,311,0,544,855,586,1441,440,28,0
676,9600,120,70,0.0,0,0,1095,1095,679,1774,779,0,0
677,9022,96,14,0.0,0,0,768,768,0,792,240,316,0
678,11844,12,12,464.0,0,0,2046,2046,0,2046,834,322,0
679,9945,59,59,57.0,827,0,161,988,0,988,572,0,0
680,8012,40,40,0.0,543,119,261,923,0,923,264,80,0
681,4500,88,20,0.0,182,0,611,793,672,1520,281,0,0
682,2887,24,23,0.0,1003,0,288,1291,0,1291,431,307,0
683,11248,18,18,215.0,1059,0,567,1626,0,1668,702,257,0
684,16770,22,22,30.0,0,0,1195,1195,644,1839,486,0,0
685,5062,36,36,0.0,828,182,180,1190,900,2090,577,219,0
686,10207,13,13,0.0,0,0,874,874,887,1761,578,144,0
687,5105,16,16,0.0,239,0,312,551,551,1102,480,0,0
688,8089,13,13,0.0,945,0,474,1419,0,1419,567,140,0
689,7577,15,14,256.0,20,0,1342,1362,0,1362,460,192,0
690,4426,16,16,147.0,697,0,151,848,0,848,420,149,0
691,21535,26,25,1170.0,1455,0,989,2444,1872,4316,832,382,0
692,26178,31,30,293.0,965,0,245,1210,1281,2519,628,320,0
693,5400,99,52,0.0,0,0,1073,1073,0,1073,326,0,0
694,6120,84,70,0.0,0,0,927,927,472,1539,576,112,0
695,13811,33,33,72.0,980,40,92,1112,0,1137,551,125,0
696,6000,99,70,0.0,616,0,0,616,0,616,205,0,0
697,6420,68,68,0.0,210,551,219,980,0,1148,308,0,0
698,8450,55,11,0.0,553,117,224,894,0,894,336,416,0
699,4282,16,16,0.0,16,0,1375,1391,0,1391,530,156,0
700,14331,18,18,630.0,1274,0,526,1800,0,1800,765,270,0
701,9600,51,51,168.0,0,0,1164,1164,0,1164,528,0,0
702,12438,14,14,466.0,0,0,1234,1234,1312,2576,666,324,0
703,7630,120,24,0.0,0,0,360,360,780,1812,672,344,0
704,8400,16,15,109.0,712,0,761,1473,0,1484,606,0,0
706,115149,49,18,351.0,1219,0,424,1643,0,1824,739,380,0
707,6240,14,14,176.0,863,0,461,1324,0,1324,550,192,0
708,9018,13,13,0.0,0,0,728,728,728,1456,400,100,0
709,7162,54,54,41.0,0,0,876,876,0,904,408,0,0
711,8712,120,70,0.0,0,0,859,859,319,1178,384,68,0
712,4671,32,31,0.0,767,0,461,1228,0,1228,472,168,0
713,9873,50,50,160.0,789,0,171,960,0,960,576,0,0
714,13517,44,15,289.0,533,0,192,725,754,1479,475,0,0
715,10140,46,46,174.0,0,0,1064,1064,0,1350,478,0,0
716,10800,130,22,0.0,0,0,718,718,978,2554,704,0,0
717,10000,47,20,0.0,1084,0,92,1176,0,1178,439,224,0
718,10542,27,26,651.0,1173,0,138,1311,1093,2418,983,250,0
719,9920,51,51,0.0,523,0,448,971,0,971,300,0,0
720,6563,35,35,0.0,1148,0,594,1742,0,1742,564,114,0
721,4426,16,16,169.0,662,0,186,848,0,848,420,160,0
722,8120,50,50,0.0,191,0,673,864,0,864,463,0,0
723,8172,66,48,0.0,0,0,941,941,473,1470,548,0,0
724,13286,13,12,340.0,1234,0,464,1698,0,1698,768,327,0
725,6960,50,50,0.0,375,239,250,864,0,864,660,96,500
726,21695,32,13,260.0,808,0,72,880,0,1680,540,292,0
727,7314,13,13,82.0,724,0,508,1232,0,1232,632,132,0
728,11475,62,62,95.0,0,0,1584,1584,0,1776,888,0,0
729,6240,95,70,0.0,152,0,628,780,0,1208,539,0,0
730,5389,25,24,0.0,1180,0,415,1595,0,1616,608,237,0
731,9590,17,17,442.0,786,0,82,868,0,1146,438,160,0
732,11404,22,21,202.0,252,0,901,1153,878,2031,541,192,0
733,10000,59,37,0.0,594,0,270,864,0,1144,264,165,400
734,8978,52,52,0.0,0,0,948,948,0,948,300,147,0
735,10800,106,50,0.0,390,0,490,880,888,1768,320,0,0
736,8544,70,70,0.0,0,0,0,0,0,1040,400,0,0
737,10463,15,15,0.0,0,0,893,893,900,1801,800,0,0
739,9313,16,16,0.0,0,0,864,864,864,1728,572,187,0
740,9600,110,18,0.0,0,0,264,264,664,1432,360,270,0
741,6768,59,24,0.0,832,0,80,912,0,912,288,168,0
742,8450,20,19,108.0,0,0,1349,1349,0,1349,539,120,0
743,12886,57,21,0.0,444,0,76,520,0,1464,480,302,0
744,5395,27,27,0.0,733,0,604,1337,0,1337,462,96,0
745,8963,44,24,289.0,575,80,487,1142,1540,2715,831,0,0
746,8795,20,20,0.0,300,0,652,952,1276,2256,554,224,0
747,11700,140,17,0.0,0,0,1240,1240,1320,2640,864,181,0
748,10593,24,24,338.0,919,0,801,1720,0,1720,527,240,0
749,8405,75,70,0.0,0,0,0,0,441,1529,240,92,0
751,7750,17,17,0.0,0,0,660,660,660,1320,400,0,0
752,9236,23,23,0.0,1200,0,279,1479,0,1494,576,168,0
753,10240,15,15,178.0,0,0,1030,1030,1060,2098,878,192,0
754,7930,51,15,0.0,439,472,115,1026,0,1026,440,171,0
755,3230,21,21,894.0,381,0,348,729,729,1471,440,0,0
756,10769,13,13,0.0,20,0,846,866,902,1768,578,144,0
757,11616,42,42,328.0,438,0,234,672,714,1386,440,335,0
758,2280,21,21,360.0,549,0,195,744,744,1501,440,0,0
759,12257,25,25,513.0,56,64,1198,1318,1203,2531,752,222,0
760,9100,61,61,0.0,612,0,252,864,0,864,300,0,450
761,6911,96,70,0.0,405,0,740,1145,0,1301,440,0,0
762,8640,11,11,0.0,24,0,732,756,783,1547,614,169,0
763,9430,21,21,673.0,1163,0,89,1252,1097,2365,856,0,0
764,9549,25,24,0.0,437,1057,0,1494,0,1494,481,0,0
765,14587,12,12,284.0,0,0,1498,1498,0,1506,592,0,0
766,10421,32,32,42.0,394,0,586,980,734,1714,496,228,500
767,12508,80,35,0.0,660,0,323,983,767,1750,423,245,1300
768,9100,16,15,0.0,24,0,1836,1860,0,1836,484,120,0
769,53504,17,17,603.0,1416,0,234,1650,1589,3279,841,503,0
770,7252,38,38,0.0,685,0,173,858,0,858,576,120,0
771,8877,69,69,0.0,836,0,0,836,0,1220,396,0,0
772,7819,44,44,0.0,422,127,480,1029,0,1117,672,144,0
773,10150,62,62,1.0,456,0,456,912,0,912,275,0,0
774,14226,14,14,375.0,0,0,1935,1935,0,1973,895,315,0
775,4500,22,22,320.0,866,0,338,1204,0,1204,412,0,0
776,11210,15,14,240.0,20,0,1594,1614,0,1614,865,144,0
777,13350,46,46,0.0,762,0,102,864,0,894,440,241,0
778,8400,43,43,320.0,0,0,0,0,0,2020,630,0,0
779,10530,43,43,90.0,975,0,0,975,0,1004,504,0,0
780,7875,25,24,38.0,0,0,1237,1237,0,1253,402,220,0
781,7153,28,28,0.0,387,0,374,761,793,1603,484,0,0
782,16285,19,18,0.0,0,0,1413,1413,0,1430,605,0,0
783,9101,42,42,104.0,1097,0,0,1097,0,1110,602,303,0
785,9790,53,53,0.0,251,630,491,1372,0,1342,457,0,0
786,10800,105,70,0.0,686,0,0,686,686,1652,416,0,1200
787,10142,16,16,0.0,656,0,300,956,1128,2084,618,0,0
788,6000,66,20,0.0,0,0,901,901,0,901,281,0,0
789,12205,54,13,157.0,568,0,264,832,1111,2087,444,133,0
790,3182,15,14,11.0,16,0,1129,1145,0,1145,397,100,0
791,11333,44,44,0.0,539,0,490,1029,0,1062,539,120,0
792,9920,24,23,0.0,862,0,255,1117,886,2013,455,180,0
793,9158,13,13,140.0,0,0,1496,1496,0,1496,474,168,0
794,10832,26,24,0.0,0,0,712,712,809,1895,409,143,500
795,8400,40,39,130.0,0,0,650,650,676,1564,476,0,0
796,8197,43,43,148.0,0,0,660,660,0,1285,528,138,0
797,7677,67,67,0.0,570,0,203,773,0,773,240,0,0
798,13518,12,11,860.0,0,0,1926,1926,1174,3140,820,144,0
799,7200,83,70,252.0,569,0,162,731,787,1768,240,0,0
800,12798,23,23,0.0,462,0,154,616,1072,1688,603,403,400
801,4800,104,30,0.0,197,0,999,1196,0,1196,440,0,0
802,8199,15,15,0.0,648,0,80,728,728,1456,410,36,0
803,13891,12,11,424.0,0,0,1734,1734,1088,2822,1020,52,0
804,9000,66,66,0.0,812,0,124,936,0,1128,286,0,0
805,12274,12,12,256.0,0,0,1417,1417,0,1428,554,0,0
806,9750,53,53,0.0,400,480,100,980,0,980,384,68,0
807,21384,97,16,0.0,1309,0,15,1324,504,1576,528,0,0
808,13400,54,54,1047.0,516,128,380,1024,0,1086,484,0,0
809,8100,122,55,0.0,0,0,849,849,1063,2138,360,40,0
810,10140,46,21,99.0,663,377,0,1040,0,1309,484,265,0
811,4438,16,16,169.0,662,0,186,848,0,848,420,140,0
812,8712,68,68,0.0,0,0,540,540,0,1044,504,0,54
813,9750,62,62,243.0,608,0,834,1442,0,1442,301,0,500
814,8248,102,70,0.0,0,0,686,686,564,1250,280,207,0
815,12137,22,22,442.0,0,0,1649,1649,0,1661,598,0,0
816,11425,66,66,0.0,486,0,522,1008,0,1008,275,0,0
817,13265,18,18,148.0,1218,0,350,1568,0,1689,857,150,0
818,8816,49,49,80.0,504,0,506,1010,0,1052,440,0,0
819,6371,11,10,128.0,733,0,625,1358,0,1358,484,192,0
820,7226,17,17,0.0,0,0,798,798,842,1640,595,0,0
821,6000,67,67,0.0,0,0,936,936,0,936,576,0,0
822,12394,17,17,0.0,0,0,847,847,886,1733,433,100,0
823,9900,80,70,0.0,0,0,778,778,545,1489,240,335,0
824,11216,14,14,0.0,0,0,1489,1489,0,1489,776,0,0
825,14803,13,12,816.0,1636,0,442,2078,0,2084,1220,188,0
827,8529,19,19,0.0,20,0,1434,1454,0,1434,527,290,0
828,28698,53,53,0.0,249,764,0,1013,966,2126,538,486,0
829,2544,15,15,0.0,0,0,600,600,623,1223,480,0,0
830,11900,63,63,387.0,1040,0,352,1392,0,1392,458,0,0
831,3180,15,15,0.0,0,0,600,600,600,1200,480,0,0
832,9548,17,17,223.0,483,0,458,941,888,1829,613,192,0
833,10004,56,56,180.0,196,345,975,1516,0,1516,472,0,0
834,7875,59,59,136.0,572,0,572,1144,0,1144,456,0,0
835,9600,70,25,0.0,442,0,625,1067,0,1067,436,290,0
836,8100,72,47,0.0,338,0,1221,1559,0,1559,812,0,0
837,1680,47,47,158.0,330,0,153,483,504,987,264,0,0
838,9525,25,14,0.0,0,0,1099,1099,0,1099,352,278,0
839,11767,74,25,0.0,352,0,416,768,432,1200,240,0,0
840,12155,95,70,0.0,156,0,516,672,672,1482,400,0,0
841,10440,116,18,0.0,0,0,650,650,581,1539,686,70,0
842,9020,54,54,183.0,312,539,276,1127,0,1165,490,0,0
844,12665,105,70,0.0,0,0,876,876,540,1416,720,418,0
845,16647,45,39,0.0,1390,0,0,1390,0,1701,611,0,0
846,9317,27,27,137.0,513,0,227,740,769,1775,425,234,0
847,15523,48,48,0.0,460,0,404,864,0,864,338,0,0
848,45600,112,23,0.0,0,0,907,907,1051,2358,360,486,0
849,9600,44,26,360.0,0,0,528,528,761,1855,512,113,0
850,4435,17,17,170.0,659,0,189,848,0,848,420,140,0
851,3196,17,17,40.0,0,0,1273,1273,0,1456,400,143,0
852,7128,79,70,0.0,364,0,554,918,728,1646,240,0,0
853,12095,56,56,115.0,564,0,563,1127,0,1445,645,180,0
854,17920,65,46,0.0,306,1085,372,1763,0,1779,454,0,0
855,6897,58,10,0.0,659,0,381,1040,0,1040,260,0,0
856,10970,42,42,0.0,505,435,0,940,0,1026,576,0,0
857,8125,26,25,0.0,0,0,702,702,779,1481,343,0,0
858,10400,44,44,189.0,0,0,1090,1090,0,1370,479,0,0
859,11029,52,36,220.0,619,0,435,1054,1142,2654,619,0,0
860,7642,102,22,0.0,0,0,912,912,514,1426,216,0,0
861,11625,55,55,0.0,841,0,198,1039,0,1039,504,0,0
862,9672,36,35,0.0,338,0,702,1040,0,1097,480,0,0
863,7931,61,61,0.0,1148,0,0,1148,0,1148,672,0,0
864,8640,13,12,0.0,0,0,1372,1372,0,1372,529,0,0
865,8750,50,50,76.0,828,0,174,1002,0,1002,902,0,0
866,10656,14,13,274.0,0,0,1638,1638,0,1646,870,192,0
867,6970,59,59,0.0,932,0,108,1040,0,1120,544,168,400
868,14762,72,70,0.0,0,0,0,0,720,2320,672,120,0
869,9938,27,26,246.0,750,0,300,1050,887,1949,574,156,0
870,6600,58,58,0.0,0,0,894,894,0,894,308,0,0
871,8750,22,22,116.0,505,0,299,804,878,1682,523,0,0
872,8892,67,24,0.0,0,0,105,105,0,910,414,196,0
873,12144,71,70,0.0,375,0,457,832,0,1268,288,0,0
874,5720,79,70,0.0,0,0,676,676,455,1131,200,26,0
875,9000,13,13,0.0,64,0,1120,1184,1426,2610,550,208,0
876,25286,57,57,0.0,633,0,431,1064,0,1040,648,0,0
877,8834,16,15,216.0,1170,0,292,1462,762,2224,738,184,0
878,11782,59,25,0.0,899,0,210,1109,0,1155,576,192,400
879,7000,42,15,90.0,646,0,218,864,0,864,336,0,0
880,7024,15,14,0.0,980,0,110,1090,0,1090,450,0,0
881,13758,30,29,117.0,902,0,254,1156,530,1717,400,168,0
882,9636,28,27,0.0,0,0,808,808,785,1593,389,342,0
883,6204,108,70,0.0,0,0,795,795,795,2230,440,0,0
884,7150,53,53,60.0,432,0,460,892,0,892,288,0,0
885,5119,21,20,60.0,1238,0,460,1698,0,1709,506,97,0
886,8393,61,15,122.0,528,0,1098,1626,0,1712,588,272,0
887,16466,65,65,0.0,0,0,816,816,521,1393,300,121,0
888,15865,50,50,0.0,351,823,1043,2217,0,2217,621,81,0
889,12160,67,67,90.0,1024,0,481,1505,0,1505,505,0,0
890,8064,71,14,0.0,0,0,672,672,252,924,576,0,2000
891,11184,42,42,92.0,226,500,192,918,765,1683,440,243,0
892,8414,57,17,0.0,663,0,396,1059,0,1068,264,192,0
893,13284,66,66,0.0,1064,0,319,1383,0,1383,354,511,0
894,7018,41,41,0.0,0,0,0,0,0,1535,400,0,0
